rule_id,prefix,layer,page_type,subject,component,state,property_name,condition_if,then_clause,else_clause,default_value,preferred_pattern,anti_pattern,evidence,source_ref
FDN-001,FDN,foundation,foundation,使用标准 Tailwind 颜色类,,default,background-color,如果 对象 = Vue 组件 Tailwind 样式 且 规则 = 使用标准 Tailwind 类的颜色,则颜色应该使用标准 Tailwind 语义类，而不是硬编码的十六进制值,否则不要直接在模板或样式中散布原始十六进制值，如 #333 或 #F5F6F8,,使用诸如 text-gray-900 bg-gray-50 text-blue-600 之类的 Tailwind 类来实现语义颜色角色,不要直接在模板或样式中分散原始十六进制值，如 #333 或 #F5F6F8,更喜欢语义名称而不是视觉名称,enterprise-vue-refiner/data/foundation-rules.csv#FDN-001
FDN-002,FDN,foundation,foundation,优先选择语义 Tailwind 类，而不是视觉颜色名称,,default,background-color,如果 对象 = 文本背景边框表面 且 规则 = 优先选择语义 Tailwind 类，而不是视觉颜色名称,则颜色类应该表达角色而不是任意的十六进制或仅视觉名称,否则 当存在语义 Tailwind 类时，不要使用仅外观名称或十六进制值,,使用基于角色的 Tailwind 类：text-gray-900 用于主要文本，bg-gray-50 用于页面背景,当存在语义 Tailwind 类时，不要使用仅外观名称或十六进制值,在重构和新组件审核期间使用,enterprise-vue-refiner/data/foundation-rules.csv#FDN-002
FDN-003,FDN,foundation,foundation,当标准类存在时，避免 Tailwind 任意颜色值,,default,color,如果 对象 = Vue Tailwind 样式 且 规则 = 当标准类存在时避免 Tailwind 任意颜色值,则 当存在 bg-gray-50 或 text-gray-900 等标准类时，避免 bg-[#F5F6F8] 或 text-[#333],否则 当 Tailwind 具有匹配类时，不要使用 bg-[#hex] 或 text-[#hex] 作为稳态模式,,使用标准 Tailwind 颜色类；仅当没有标准类匹配时才使用任意值,当 Tailwind 具有匹配类时，请勿使用 bg-[#hex] 或 text-[#hex] 作为稳态模式,如果需要迁移，请记录临时异常,enterprise-vue-refiner/data/foundation-rules.csv#FDN-003
FDN-004,FDN,foundation,foundation,使用共享基础字体系列,,default,font-family,如果 对象 = App shell 内容区域 且 规则 = 使用共享基本字体系列,则在应用程序外壳和内容区域使用一致的字体系列,否则不要在本地重新定义不相关的字体系列,"""PingFang SC"", ""Microsoft YaHei"", sans-serif",在 Tailwind 配置或全局 CSS 中配置基本字体系列,不要在本地重新定义不相关的字体系列,映射到现有项目排版标记（如果已存在）,enterprise-vue-refiner/data/foundation-rules.csv#FDN-004
FDN-005,FDN,foundation,foundation,使用有限的字体层级,,default,typography-token,如果 对象 = 文本组件模块 且 规则 = 使用有限的字体层级,则字号和行高必须来自企业字体层级,否则请勿在同一模块内混合任意文本-[Npx] 值,12px|14px|16px|22px|24px,使用 text-xs(12px) text-sm(14px) text-base(16px) text-lg(18px) text-xl(20px) text-2xl(24px) text-3xl(28px),不要在同一模块内混合任意文本-[Npx] 值,审核重复的一次性文本课程,enterprise-vue-refiner/data/foundation-rules.csv#FDN-005
FDN-006,FDN,foundation,foundation,使用标准 Tailwind 间距刻度,,default,spacing,如果 对象 = 布局外壳、卡片、工具栏和表单 且 规则 = 使用标准 Tailwind 间距类,则 间距必须使用标准 Tailwind 间距比例而不是任意值,否则 当标准类存在时，不要使用 p-[16px] 或gap-[12px],4px|8px|12px|32px,使用 Tailwind间距：4px->1、8px->2、12px->3、16px->4、20px->5、24px->6、32px->8,当标准类存在时，不要使用 p-[16px] 或gap-[12px],共享间距应涵盖布局和组件节奏,enterprise-vue-refiner/data/foundation-rules.csv#FDN-006
FDN-007,FDN,foundation,foundation,映射到现有的 Tailwind 配置而不是重复值,,default,review-check,如果 对象 = 主题层迁移 且 规则 = 映射到现有 Tailwind 配置而不是重复值,则如果 Tailwind 配置已经有一个匹配的值，则使用现有的类，而不是重复的任意值,否则 当存在等效的 Tailwind 类时，不要创建并行的任意值模式,,将规则意图与当前令牌系统保持一致,当存在等效的 Tailwind 类时，不要创建并行的任意值模式,对于跨代码库的普遍采用很重要,enterprise-vue-refiner/data/foundation-rules.csv#FDN-007
FDN-008,FDN,foundation,foundation,在批量替换值之前更新 Tailwind 配置,,default,review-check,如果 对象 = 主题层 Tailwind 配置 且 规则 = 在批量替换值之前更新 Tailwind 配置,则如果 Tailwind 配置中不存在所需的值，请先将其添加到共享配置中，则使用该类,否则 不要在没有共享配置条目的情况下一一修补重复的任意值,,在批量替换之前添加或更新最接近的共享主题图层,如果没有共享配置条目，请勿一一修补重复的任意值,将审核扩展到单个页面之外时使用,enterprise-vue-refiner/data/foundation-rules.csv#FDN-008
FDN-009,FDN,foundation,foundation,对 UI 状态使用品牌颜色,,default,color,如果 对象 = 品牌颜色状态 且 规则 = 对 UI 状态使用品牌颜色,则品牌颜色：primary #0067D1、hover #2E86DE、success #01AA71、warning #FCC800、danger #E02128、info #2070f3、none #AEAEAE,否则请勿使用与品牌规格不同的硬编码十六进制值,#0067D1|#2E86DE|#01AA71|#FCC800|#E02128|#2070f3|#AEAEAE,通过 Tailwind 类或 Element Plus 的 :deep() 范围覆盖应用品牌颜色,请勿使用与品牌规格不同的硬编码十六进制值,适用于自定义 CSS 和 Tailwind 实用程序。对于第三方组件，请参阅 FDN-009-TP,enterprise-vue-refiner/data/foundation-rules.csv#FDN-009
FDN-009-TP,FDN,foundation,foundation,使用品牌颜色覆盖 Element Plus 组件颜色,,default,color,如果 对象 = 第三方组件颜色覆盖 且 规则 = 使用品牌颜色覆盖 Element Plus 组件颜色,则 Element Plus 组件必须覆盖默认颜色，以通过作用域样式中的 :deep() 匹配品牌颜色,否则请勿让 Element Plus 组件使用默认的非品牌颜色,#0067D1|#2E86DE|#01AA71|#FCC800|#E02128,使用 :deep() 覆盖 Element Plus CSS 变量： --el-button-bg-color: #0067D1; --el-button-hover-bg-color: #2E86DE;覆盖默认悬停焦点处于活动状态,不要让 Element Plus 组件使用默认的非品牌颜色,必需：使用 :deep() 为 el-button el-tag el-input el-select 等添加scoped 样式覆盖。示例： :deep(.el-button--primary) { --el-button-bg-color: #0067D1; --el-button-hover-bg-color: #2E86DE; },enterprise-vue-refiner/data/foundation-rules.csv#FDN-009-TP
FDN-010,FDN,foundation,foundation,使用标准 Tailwind 中性颜色类,,default,background-color,如果 对象 = 中性色文本背景 且 规则 = 使用标准 Tailwind 中性色类,则中性色：text-primary #191919->text-gray-900，text-regular #595959->text-gray-600，link #0067D1->text-blue-600，bg-page #F5F6F8->bg-gray-50，bg-container #FFFFFF->bg-white，边框#C9C9C9->border-gray-300，分隔符#DFDFDF->border-gray-200,否则不要对中性色使用硬编码的十六进制值,#191919|#595959|#0067D1|#F5F6F8|#FFFFFF|#C9C9C9|#DFDFDF|#F3F3F3,用于中性色,不要对中性色使用硬编码的十六进制值,适用于所有中性色的使用。重要提示：1) 确保项目 CSS 文件中的 CSS 标记定义完整 2) 第三方库组件不会自动使用 CSS 变量 - 需要自定义样式来覆盖默认组件样式,enterprise-vue-refiner/data/foundation-rules.csv#FDN-010
FDN-011,FDN,foundation,foundation,使用标准 Tailwind 排版类作为标题,,default,typography-token,如果 对象 = 字体层级、字号、行高 且 规则 = 使用标准 Tailwind 排版类作为标题,则字号必须使用企业字体层级：base text-sm(14px)、h1 text-2xl(24px)、h2 text-xl(20px),否则请勿使用超出比例范围的任意字号或行高,12px|32px|24px|1.5,用于字体层级,请勿使用超出比例范围的任意字号或行高,适用于所有排版,enterprise-vue-refiner/data/foundation-rules.csv#FDN-011
FDN-012,FDN,foundation,foundation,使用标准影子类,,default,box-shadow,如果 对象 = 阴影层级阴影级别 且 规则 = 使用标准阴影类,则Shadows必须使用：shadow-sm、shadow、shadow-2xl,否则不要使用硬编码的box-shadow值,"0 1px 6px rgba(0,0,0,0.08)|0 4px 12px rgba(0,0,0,0.08)|0 8px 24px rgba(0,0,0,0.16)",使用shadow-sm（小）、shadow（中）、shadow-2xl（大）,不要使用硬编码的盒子阴影值,适用于所有阴影使用,enterprise-vue-refiner/data/foundation-rules.csv#FDN-012
FDN-013,FDN,foundation,foundation,使用标准边界半径类,,default,border-radius,如果 对象 = 边界半径标记 且 规则 = 使用标准边界半径类,则边框半径：2px->rounded-[2px]、4px->rounded、8px->rounded-lg,否则不要使用硬编码的边框半径值,2px|4px|8px,用于边界半径,不要使用硬编码的边框半径值,适用于所有边界半径使用,enterprise-vue-refiner/data/foundation-rules.csv#FDN-013
FDN-014,FDN,foundation,foundation,使用标准间距比例进行布局节奏,,default,spacing,如果 对象 = 间距比例布局节奏 且 规则 = 使用标准间距比例进行布局节奏,则间距比例：4px->1、8px->2、12px->3、16px->4、20px->5、24px->6、32px->8,否则不要使用硬编码的间距值,4px|8px|24px|4px|8px|12px|16px|24px|32px,用于间距,不要使用硬编码的间距值,适用于所有间距使用,enterprise-vue-refiner/data/foundation-rules.csv#FDN-014
FDN-015,FDN,foundation,foundation,使用 text-xs (12px) 来实现紧凑的辅助文本,,default,typography-token,如果 对象 = 紧凑辅助文本组件 且 规则 = 使用 text-xs (12px) 实现紧凑辅助文本,则帮助文本、下拉选项、单选/复选框标签、标签必须使用 text-xs (12px) 和leading-5 (20px),否则不要为紧凑的帮助内容使用任意字号,12px|20px,根据组件语义使用普通或中等粗细的 font-body-1 或 text-xs,不要为紧凑的帮助内容使用任意字号,适用于紧凑的帮助程序和支持文本,enterprise-vue-refiner/data/foundation-rules.csv#FDN-015
FDN-016,FDN,foundation,foundation,使用 text-sm (14px) 作为默认交互组件,,default,typography-token,如果 对象 = 默认交互组件 且 规则 = 使用 text-sm (14px) 作为默认交互组件,则默认按钮、选项卡、输入、侧边栏项目、表格正文文本必须使用 text-sm (14px) 和leading-6 (22px),否则不要对默认交互组件使用任意字号,14px|22px,根据组件语义使用普通或中等粗细的 font-body-2 或 text-sm,不要对默认交互组件使用任意字号,适用于默认组件文本,enterprise-vue-refiner/data/foundation-rules.csv#FDN-016
FDN-017,FDN,foundation,foundation,使用 text-sm font-bold (14px/700) 获得紧凑的标题,,default,typography-token,如果 对象 = 紧凑标题和标题并 且 规则 = 使用 text-sm font-bold (14px/700) 作为紧凑标题,则表格标题、对话框标题、紧凑部分标题必须使用 text-sm font-bold (14px/700),否则不要对紧凑标题使用任意字号或粗细,14px|700,使用 font-headline-2 或 text-sm 和 font-bold 来获得紧凑的标题,不要对紧凑的标题使用任意的字号或粗细,适用于表头对话框标题和紧凑部分标题,enterprise-vue-refiner/data/foundation-rules.csv#FDN-017
