rule_id,prefix,layer,page_type,subject,component,state,property_name,condition_if,then_clause,else_clause,default_value,preferred_pattern,anti_pattern,evidence,source_ref
LAY-001,LAY,global,all,页面主内容使用 32px 左右安全边距,,default,padding,如果 对象 = 页面外壳内容容器应用程序框架 且 规则 = 为页面面内容使用32px左右安全边距,则页面边缘与主内容区域之间的左右安全边距必须为32px,否则不要在多个页面上硬编码多个本地 px-8 或 px-[32px] 替换,32px,尽可能在共享页面容器或布局外壳中应用此规则,不要跨多个页面硬编码多个本地 px-8 或 px-[32px] 替换,使用共享页面包装器作为首选,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-001
LAY-002,LAY,global,all,使用 Tailwind px-8 获得安全边距,,default,padding,如果 对象 = 主题根共享布局样式并 且 规则 = 使用 Tailwind px-8作为安全边距,则通过消耗 px-8 的共享页面包装器表示 32px 安全边距,否则 不要在断开连接的样式表中重复文字安全边距值,32px,定义或重用共享布局令牌并在页面容器中使用它,不要在断开连接的样式表中重复文字安全边距值,与基础间距比例相匹配,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-002
LAY-003,LAY,global,all,更喜欢共享页面包装器以获得一致的边缘间距,,default,spacing,如果 对象 = 共享布局包装器页面容器 且 规则 = 首选共享页面包装器以获得一致的边缘间距,则首选共享页面包装器，以实现跨屏幕边缘间距一致,否则 当公共 shell 可以强制执行相同的规则时，不要分散本地padding修复,,标准化包装器而不是单独修补每个页面,当通用 shell 可以强制执行相同的规则时，不要分散本地padding修复,对于规模和可维护性很重要,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-003
LAY-004,LAY,global,all,保持窄视口行为明确,,default,padding,如果 对象 = 移动紧凑布局 且 规则 = 保持窄视口行为明确,则保持移动或窄视口行为明确，并遵循设计系统的紧凑安全边距（如果存在）,否则不要意外地将小屏幕锁定到不可用的桌面装订线,,在共享 shell 中实现响应式行为或注意后备假设,不要意外地将小屏幕锁定到不可用的桌面间距,如果不存在紧凑规则 则保留可用性并记录假设,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-004
LAY-005,LAY,global,all,从嵌套旧容器中删除重复的水平padding,,default,spacing,如果 对象 = 旧版嵌套页面容器 且 规则 = 从嵌套旧版容器中删除重复的水平padding,则 当旧屏幕嵌套多个容器时，请在安全的情况下删除重复的水平padding，以便有效边距保持正确,否则不要保留堆叠的水平padding，这会使视觉间距加倍,,将嵌套包装器简化为单个有效安全边距,不要保留堆叠的水平内边距，以免使视觉间距加倍,在重构期间审核嵌套容器,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-005
LAY-006,LAY,global,all,使用 bg-gray-50 作为全局页面背景,,default,background-color,如果 对象 = 页面背景应用程序 shell 且 规则 = 使用 bg-gray-50 作为全局页面背景,则全局页面背景应该使用 bg-gray-50 (#F5F6F8),否则不要使用任意背景颜色或硬编码值,#F5F6F8,将 bg-gray-50 应用到页面根目录或主容器,不要使用任意背景颜色或硬编码值,适用于所有页面背景,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-006
LAY-007,LAY,global,all,将顶部导航高度固定为 48px，并具有响应式宽度,,default,height,如果 对象 = 顶部导航栏 且 规则 = 将顶部导航高度固定为 48px，并具有响应式宽度,则顶部导航高度应固定为 48px，宽度为响应式,否则不要使用任意或继承的导航高度,48px,将高度明确设置为 48px，宽度设置为响应式,不要使用任意或继承的导航高度,适用于所有顶部导航组件,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-007
LAY-008,LAY,global,all,对内容卡使用 bg-white 和 rounded-lg,card,default,border-radius,如果 对象 = 内容卡页面部分 且 规则 = 对内容卡使用 bg-white 和 rounded-lg,则内容卡应使用 bg-white 作为背景，使用 rounded-lg 作为边框半径,否则不要使用任意背景颜色或边框半径值,#FFFFFF|8px,将 color-bg-1 和 radius-lg 应用于卡片组件,不要使用任意背景颜色或边框半径值,适用于所有内容卡,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-008
LAY-009,LAY,global,all,对卡片标题使用一致的排版和间距,card,default,typography-token,如果 对象 = 卡片标题标题 且 规则 = 对卡片标题使用一致的版式和间距,则卡片标题应使用基于文本的font-bold（16px/700），前导8（24px），24px底部padding；卡片内边距垂直 20 px，水平 24 px,否则不要对卡片标题使用任意字号或padding值,16px|24px|700|20px|24px,应用 font-headline-3，尺寸为 16px，行高为 24px，字重为 700，并指定padding值,请勿对卡片标题使用任意字号或padding值,卡片标题：16px/24px/700；卡片内边距：垂直 20 px，水平 24 px。适用于所有卡牌标题。,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-009
LAY-010,LAY,global,all,通过按钮状态管理实现编辑模式切换,form,default,alignment,如果 对象 = 编辑模式形成卡并 且 规则 = 通过按钮状态管理实现编辑模式切换,则“编辑”按钮应该位于卡片标题的右侧，单击它将表单从只读模式切换为编辑模式编辑按钮消失并出现保存取消按钮,否则不要混合编辑模式状态或使按钮处于不一致的状态,,实施状态管理以在只读和编辑模式之间切换并具有适当的按钮可见性,不要混合编辑模式状态或使按钮处于不一致的状态,适用于具有可编辑字段的页面,enterprise-vue-refiner/data/global-layout-rules.csv#LAY-010
